Titulo;Data de inicio;Data de fim;Data publicacao;Local
Despacho com Chefe de Gabinete – Vitor Sampaio;2023/05/16 18:00:00 GMT-3;2023/05/16 18:00:00 GMT-3;2023-05-15T20:38:53-03:00;Local: Gabinete do Prefeito
Despacho com Secretário de Governo – Edson Aparecido, Secretário de Habitação – João Farias, Secretário Executivo do Gabinete do Prefeito – Diogo Soares e Diretor-Presidente da COHAB – João Cury;2023/05/16 16:30:00 GMT-3;2023/05/16 16:30:00 GMT-3;2023-05-15T20:36:08-03:00;Local: Gabinete do Prefeito
Reunião com Presidente do Instituto Cultural Santos Dumont – Marcos Siciliano Villares Filho, Vice-Presidente do Instituto Cultural Santos Dumont – Ricardo Jacob de Magalhães Corrêa, Diretora Cultural do Instituto Histórico e Geográfico de São Paulo – Cristiane Carbone da Silva, Comandante do Quarto Comando Aéreo Regional (IV COMAR) – Major-Brigadeiro do Ar Luiz Cláudio Macedo Santos, Chefe da Assessoria de Relações Institucionais do IV COMAR – Coronel Int R/1 André Luiz da Costa Braga, Adjunto da Assessoria de Relações Institucionais do IV COMAR – Tenente-Coronel Av Marcelo José Perez Monteiro, Chefe da Assessoria de Comunicação Social e de Cerimonial do IV COMAR – Major Av Waldinei Carlos da Cruz Barbosa, Ajudante de Ordens do Comandante do IV COMAR – 1º Tenente Eng Francisco Henrique Figueiredo Araujo, Secretária de Cultura – Aline Torres, Secretário Executivo de Desestatização e Parcerias (SEDP/SGM) – Paulo Galli e Subprefeito de Santana – João Neto;2023/05/16 15:00:00 GMT-3;2023/05/16 15:00:00 GMT-3;2023-05-15T20:32:14-03:00;Local: Gabinete do Prefeito
Missa de Dois Anos em Memória ao Prefeito Bruno Covas, com Cura da Catedral da Sé – Padre Luiz Eduardo Pinheiro Baronto ;2023/05/16 12:00:00 GMT-3;2023/05/16 12:00:00 GMT-3;2023-05-15T21:00:59-03:00;Local: Catedral da Sé (Praça da Sé, s/n° – Centro)
Lançamento da Virada Cultural do Pertencimento 2023, com Presidente do Grupo GR6 – Rodrigo Oliveira, Secretária de Cultura – Aline Torres, Secretário de Turismo – Rodolfo Marinho, Secretária de Segurança Urbana – Elza Paulina e Diretor-Presidente da SPTuris – Gustavo Pires;2023/05/16 10:00:00 GMT-3;2023/05/16 10:00:00 GMT-3;2023-05-15T20:30:47-03:00;Local: Centro Cultural São Paulo – Sala Adoniran Barbosa (Rua Vergueiro, 1000 – Paraíso)
Reunião Mensal com Subprefeitos e Secretário de Subprefeituras – Alexandre Modonezi;2023/05/16 09:00:00 GMT-3;2023/05/16 09:00:00 GMT-3;2023-05-15T20:27:28-03:00;Local: Auditório da Prefeitura – 7° andar
Entrevista via Skype para o Programa "Em Ponto", da Globonews;2023/05/16 08:00:00 GMT-3;2023/05/16 08:00:00 GMT-3;2023-05-15T20:25:20-03:00;Local: Gabinete do Prefeito
1º Congresso Acadêmico “Inteligência Artificial – Realidades e Projeções”, com CEO e Reitor da FMU, FIAM-FAAM – Arthur Sperandeo de Macedo, Vice-Presidente Executiva de Estratégia e Transformação da FMU, FIAM-FAAM – Aline Alves de Andrade, Vice-Presidente Acadêmico da FMU, FIAM-FAAM – Manuel Nabais da Furriela, Presidente da Comissão de Assuntos de Informática do Tribunal de Justiça do Estado de São Paulo – Rubens Rihl, Secretário de Inovação e Tecnologia – Bruno Lima e Secretária Executiva de Educação – Malde Vilas Bôas ;2023/05/15 19:00:00 GMT-3;2023/05/15 19:00:00 GMT-3;2023-05-14T20:25:00-03:00;Local: FMU – Casa Metropolitana do Direito (Auditório – 5º andar) – (Av. Liberdade, 749 – Liberdade)
 Despacho com Chefe de Gabinete – Vitor Sampaio;2023/05/15 18:00:00 GMT-3;2023/05/15 18:00:00 GMT-3;2023-05-14T20:23:40-03:00;Local: Gabinete do Prefeito
Reunião com Ex Deputado Federal – José Yunes, Presidente do Serviço Social Construção Civil (SECONCI) – Maria Estela, Vice-Presidente do SECONCI – Sérgio Porto, Superintendente de Serviço do SECONCI – José Maria, Secretario Executivo de Relações Institucionais – Enrico  Misasi , Secretário da Saúde – Luiz Carlos Zamarco e Superintendente da SECONCI - Paulo Sérgio Leme;2023/05/15 16:30:00 GMT-3;2023/05/15 16:30:00 GMT-3;2023-05-14T20:20:00-03:00;Local: Gabinete do Prefeito
